5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,21.0000,0
5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,14.3228,14.3326,240
5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,15.4350,15.4432,480
5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0001,5.0001,5.0001,16.3620,16.3688,720
5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0001,5.0001,5.0001,5.0001,5.0001,17.1346,17.1402,960
5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0001,5.0001,5.0001,5.0001,5.0002,5.0002,5.0002,17.7784,17.7831,1200
5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0001,5.0001,5.0001,5.0001,5.0001,5.0002,5.0002,5.0003,5.0003,5.0003,18.3150,18.3190,1440
5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0001,5.0001,5.0001,5.0001,5.0001,5.0002,5.0002,5.0003,5.0003,5.0004,5.0005,5.0005,18.7622,18.7655,1680
5.0000,5.0000,5.0000,5.0000,5.0000,5.0001,5.0001,5.0001,5.0001,5.0001,5.0002,5.0002,5.0002,5.0003,5.0004,5.0005,5.0006,5.0007,5.0007,19.1349,19.1377,1920
5.0000,5.0000,5.0001,5.0001,5.0001,5.0001,5.0001,5.0001,5.0002,5.0002,5.0002,5.0003,5.0003,5.0004,5.0005,5.0006,5.0008,5.0009,5.0009,19.4456,19.4478,2160
5.0001,5.0001,5.0001,5.0001,5.0001,5.0001,5.0001,5.0002,5.0002,5.0003,5.0003,5.0004,5.0005,5.0006,5.0007,5.0009,5.0010,5.0013,5.0013,19.7044,19.7063,2400
5.0001,5.0001,5.0001,5.0001,5.0002,5.0002,5.0002,5.0003,5.0003,5.0004,5.0004,5.0005,5.0007,5.0008,5.0010,5.0012,5.0014,5.0017,5.0017,19.9202,19.9218,2640
5.0002,5.0002,5.0002,5.0002,5.0002,5.0003,5.0003,5.0004,5.0004,5.0005,5.0006,5.0007,5.0009,5.0011,5.0013,5.0015,5.0018,5.0022,5.0022,20.1000,20.1013,2880
5.0002,5.0002,5.0002,5.0003,5.0003,5.0004,5.0004,5.0005,5.0006,5.0007,5.0008,5.0010,5.0012,5.0014,5.0017,5.0020,5.0024,5.0028,5.0028,20.2498,20.2509,3120
5.0003,5.0003,5.0003,5.0004,5.0004,5.0005,5.0006,5.0006,5.0008,5.0009,5.0011,5.0013,5.0015,5.0018,5.0022,5.0026,5.0031,5.0037,5.0036,20.3747,20.3757,3360
5.0004,5.0004,5.0005,5.0005,5.0006,5.0006,5.0007,5.0009,5.0010,5.0012,5.0014,5.0017,5.0020,5.0024,5.0028,5.0033,5.0039,5.0047,5.0047,20.4788,20.4796,3600
5.0006,5.0006,5.0006,5.0007,5.0008,5.0008,5.0010,5.0011,5.0013,5.0016,5.0018,5.0022,5.0026,5.0030,5.0036,5.0042,5.0050,5.0059,5.0059,20.5656,20.5662,3840
5.0008,5.0008,5.0008,5.0009,5.0010,5.0011,5.0013,5.0015,5.0017,5.0020,5.0024,5.0028,5.0033,5.0039,5.0046,5.0054,5.0064,5.0075,5.0075,20.6379,20.6384,4080
5.0010,5.0010,5.0011,5.0012,5.0013,5.0014,5.0016,5.0019,5.0022,5.0026,5.0030,5.0035,5.0042,5.0049,5.0058,5.0068,5.0081,5.0095,5.0095,20.6981,20.6986,4320
5.0013,5.0014,5.0014,5.0015,5.0017,5.0019,5.0021,5.0024,5.0028,5.0033,5.0038,5.0045,5.0053,5.0062,5.0073,5.0086,5.0101,5.0119,5.0119,20.7483,20.7487,4560
5.0017,5.0017,5.0018,5.0020,5.0021,5.0024,5.0027,5.0031,5.0036,5.0042,5.0049,5.0057,5.0067,5.0078,5.0092,5.0108,5.0127,5.0150,5.0150,20.7902,20.7905,4800
5.0022,5.0022,5.0023,5.0025,5.0027,5.0030,5.0034,5.0039,5.0045,5.0053,5.0061,5.0072,5.0084,5.0099,5.0116,5.0136,5.0160,5.0188,5.0187,20.8251,20.8253,5040
5.0028,5.0029,5.0030,5.0032,5.0035,5.0039,5.0044,5.0050,5.0057,5.0066,5.0077,5.0090,5.0105,5.0124,5.0145,5.0170,5.0200,5.0234,5.0234,20.8541,20.8543,5280
5.0036,5.0036,5.0038,5.0040,5.0044,5.0049,5.0055,5.0063,5.0072,5.0083,5.0097,5.0113,5.0132,5.0155,5.0181,5.0213,5.0249,5.0293,5.0292,20.8783,20.8785,5520
5.0045,5.0046,5.0048,5.0051,5.0056,5.0062,5.0069,5.0079,5.0091,5.0105,5.0122,5.0142,5.0165,5.0193,5.0226,5.0265,5.0311,5.0365,5.0364,20.8985,20.8987,5760
5.0057,5.0058,5.0060,5.0064,5.0070,5.0078,5.0087,5.0099,5.0114,5.0131,5.0152,5.0177,5.0207,5.0241,5.0282,5.0331,5.0388,5.0454,5.0454,20.9154,20.9155,6000
5.0072,5.0073,5.0076,5.0081,5.0088,5.0097,5.0109,5.0124,5.0142,5.0164,5.0190,5.0221,5.0258,5.0301,5.0352,5.0412,5.0483,5.0565,5.0564,20.9294,20.9295,6240
5.0090,5.0092,5.0095,5.0101,5.0110,5.0122,5.0137,5.0155,5.0178,5.0205,5.0237,5.0276,5.0321,5.0375,5.0438,5.0513,5.0600,5.0703,5.0702,20.9411,20.9412,6480
5.0113,5.0115,5.0119,5.0127,5.0138,5.0152,5.0171,5.0194,5.0222,5.0255,5.0296,5.0343,5.0400,5.0467,5.0545,5.0638,5.0746,5.0874,5.0872,20.9508,20.9509,6720
5.0142,5.0144,5.0149,5.0159,5.0172,5.0190,5.0213,5.0242,5.0276,5.0318,5.0368,5.0427,5.0497,5.0580,5.0678,5.0792,5.0927,5.1085,5.1084,20.9589,20.9590,6960
5.0177,5.0179,5.0186,5.0198,5.0215,5.0237,5.0266,5.0301,5.0344,5.0396,5.0458,5.0531,5.0618,5.0721,5.0842,5.0984,5.1152,5.1348,5.1346,20.9657,20.9657,7200
5.0221,5.0224,5.0232,5.0247,5.0268,5.0296,5.0331,5.0375,5.0428,5.0493,5.0569,5.0661,5.0769,5.0896,5.1046,5.1222,5.1430,5.1673,5.1670,20.9713,20.9714,7440
5.0275,5.0279,5.0290,5.0308,5.0334,5.0368,5.0412,5.0466,5.0533,5.0612,5.0708,5.0821,5.0955,5.1113,5.1299,5.1518,5.1775,5.2076,5.2073,20.9760,20.9761,7680
5.0343,5.0347,5.0361,5.0383,5.0415,5.0458,5.0512,5.0580,5.0662,5.0761,5.0879,5.1019,5.1185,5.1381,5.1612,5.1883,5.2202,5.2576,5.2572,20.9799,20.9800,7920
5.0427,5.0432,5.0449,5.0476,5.0516,5.0569,5.0637,5.0720,5.0822,5.0945,5.1091,5.1265,5.1471,5.1714,5.2000,5.2337,5.2732,5.3196,5.3190,20.9832,20.9832,8160
5.0531,5.0537,5.0558,5.0592,5.0642,5.0708,5.0791,5.0895,5.1021,5.1173,5.1355,5.1571,5.1826,5.2127,5.2482,5.2899,5.3389,5.3964,5.3957,20.9859,20.9860,8400
5.0659,5.0668,5.0693,5.0736,5.0797,5.0879,5.0983,5.1111,5.1268,5.1456,5.1681,5.1949,5.2265,5.2639,5.3078,5.3596,5.4203,5.4916,5.4907,20.9882,20.9882,8640
5.0819,5.0830,5.0861,5.0914,5.0990,5.1091,5.1220,5.1379,5.1573,5.1807,5.2086,5.2418,5.2810,5.3273,5.3818,5.4459,5.5212,5.6095,5.6085,20.9901,20.9901,8880
5.1017,5.1030,5.1069,5.1135,5.1229,5.1354,5.1514,5.1711,5.1952,5.2242,5.2588,5.2999,5.3485,5.4059,5.4735,5.5529,5.6463,5.7558,5.7545,20.9917,20.9917,9120
5.1263,5.1279,5.1327,5.1408,5.1525,5.1681,5.1878,5.2123,5.2422,5.2781,5.3210,5.3719,5.4322,5.5034,5.5871,5.6856,5.8013,5.9370,5.9354,20.9930,20.9930,9360
5.1567,5.1587,5.1647,5.1748,5.1893,5.2085,5.2330,5.2634,5.3004,5.3449,5.3981,5.4612,5.5360,5.6241,5.7279,5.8500,5.9934,6.1617,6.1596,20.9941,20.9941,9600
5.1944,5.1969,5.2043,5.2168,5.2348,5.2587,5.2891,5.3267,5.3725,5.4277,5.4936,5.5719,5.6645,5.7738,5.9025,6.0538,6.2315,6.4401,6.4376,20.9950,20.9950,9840
5.2412,5.2443,5.2534,5.2689,5.2912,5.3208,5.3585,5.4051,5.4619,5.5303,5.6120,5.7091,5.8239,5.9594,6.1189,6.3064,6.5267,6.7851,6.7821,20.9957,20.9957,10080
5.2992,5.3030,5.3143,5.3336,5.3612,5.3979,5.4445,5.5024,5.5728,5.6576,5.7588,5.8791,6.0214,6.1893,6.3870,6.6195,6.8924,7.2128,7.2090,20.9964,20.9964,10320
5.3711,5.3757,5.3898,5.4137,5.4479,5.4934,5.5512,5.6229,5.7102,5.8152,5.9408,6.0898,6.2662,6.4743,6.7194,7.0075,7.3458,7.7429,7.7382,20.9969,20.9969,10560
5.4601,5.4659,5.4833,5.5129,5.5554,5.6117,5.6834,5.7723,5.8804,6.0107,6.1662,6.3510,6.5696,6.8276,7.1313,7.4884,7.9077,8.3999,8.3940,20.9973,20.9973,10800
5.5705,5.5777,5.5993,5.6360,5.6886,5.7584,5.8473,5.9574,6.0915,6.2529,6.4457,6.6747,6.9457,7.2654,7.6418,8.0844,8.6042,9.2142,9.2069,20.9977,20.9977,11040
5.7074,5.7162,5.7430,5.7885,5.8537,5.9403,6.0504,6.1869,6.3531,6.5531,6.7921,7.0760,7.4118,7.8080,8.2746,8.8231,9.4673,10.2234,10.2143,20.9980,20.9980,11280
5.8770,5.8879,5.9212,5.9775,6.0583,6.1656,6.3021,6.4713,6.6772,6.9252,7.2214,7.5732,7.9895,8.4806,9.0588,9.7387,10.5371,11.4742,11.4630,20.9983,20.9983,11520
6.0872,6.1008,6.1420,6.2118,6.3119,6.4449,6.6141,6.8238,7.0791,7.3864,7.7535,8.1896,8.7055,9.3141,10.0308,10.8734,11.8630,13.0244,13.0105,20.9985,20.9985,11760
6.3477,6.3646,6.4156,6.5021,6.6263,6.7911,7.0008,7.2606,7.5771,7.9580,8.4130,8.9534,9.5929,10.3472,11.2355,12.2798,13.5063,14.9458,14.9285,20.9987,20.9987,12000
6.6706,6.6915,6.7548,6.8620,7.0159,7.2202,7.4801,7.8021,8.1943,8.6664,9.2304,9.9002,10.6927,11.6277,12.7285,14.0229,15.5430,17.3270,17.3057,20.9989,20.9989,12240
7.0708,7.0967,7.1752,7.3081,7.4987,7.7520,8.0741,8.4732,8.9593,9.5445,10.2434,11.0736,12.0558,13.2146,14.5790,16.1832,18.0672,20.2783,20.2519,20.9990,20.9990,12480
7.5668,7.5990,7.6962,7.8609,8.0972,8.4111,8.8103,9.3050,9.9074,10.6327,11.4989,12.5278,13.7452,15.1814,16.8725,18.8606,21.1957,23.9361,23.9033,20.9992,20.9992,12720
8.1816,8.2214,8.3419,8.5460,8.8390,9.2280,9.7228,10.3359,11.0825,11.9814,13.0550,14.3302,15.8390,17.6190,19.7149,22.1790,25.0731,28.4694,28.4288,20.9994,20.9994,12960
8.9436,8.9929,9.1422,9.3952,9.7583,10.2404,10.8537,11.6135,12.5389,13.6530,14.9836,16.5641,18.4340,20.6401,23.2377,26.2916,29.8784,34.0878,34.0374,20.9998,20.9998,13200
9.8879,9.9491,10.1341,10.4477,10.8976,11.4952,12.2553,13.1970,14.3439,15.7247,17.3738,19.3326,21.6501,24.3843,27.6036,31.3885,35.8338,41.0506,40.9882,21.0006,21.0006,13440
11.0583,11.1341,11.3635,11.7521,12.3098,13.0504,13.9924,15.1596,16.5810,18.2922,20.3361,22.7638,25.6360,29.0245,33.0143,37.7051,43.2141,49.6793,49.6020,21.0021,21.0021,13680
12.5089,12.6029,12.8871,13.3688,14.0599,14.9777,16.1453,17.5918,19.3534,21.4742,24.0072,27.0159,30.5755,34.7749,39.7194,45.5325,52.3596,60.3715,60.2756,21.0053,21.0053,13920
14.3067,14.4231,14.7754,15.3724,16.2289,17.3664,18.8134,20.6060,22.7892,25.4175,28.5567,32.2852,36.6964,41.9005,48.0277,55.2311,63.6909,73.6184,73.4995,21.0124,21.0123,14160
16.5347,16.6790,17.1156,17.8554,18.9169,20.3266,22.1198,24.3414,27.0468,30.3039,34.1939,38.8142,44.2802,50.7286,58.3205,67.2456,77.7268,90.0257,89.8783,21.0282,21.0279,14400
19.2958,19.4747,20.0157,20.9325,22.2478,23.9947,26.2169,28.9697,32.3221,36.3578,41.1778,46.9022,53.6743,61.6630,71.0677,82.1230,95.1048,110.3363,110.1534,21.0637,21.0631,14640
22.7173,22.9389,23.6093,24.7453,26.3751,28.5396,31.2928,34.7034,38.8567,43.8563,49.8270,56.9177,65.3053,75.1987,86.8443,100.5320,116.6020,135.4535,135.2263,21.1443,21.1429,14880
26.9565,27.2311,28.0616,29.4688,31.4879,34.1691,37.5794,41.8039,46.9477,53.1391,60.5322,69.3109,79.6935,91.9378,106.3474,123.2793,143.1522,166.4563,166.1739,21.3280,21.3249,15120
32.2075,32.5475,33.5761,35.3187,37.8189,41.1389,45.3611,50.5907,56.9575,64.6195,73.7667,84.6255,97.4643,112.5998,130.4046,151.3158,175.8451,204.5905,204.2385,21.7475,21.7404,15360
38.7086,39.1294,40.4023,42.5589,45.6526,49.7601,54.9830,61.4505,69.3222,78.7921,90.0931,103.5024,119.3479,138.0157,159.9589,185.7072,215.8788,251.1928,250.7518,22.7029,22.6868,15600
46.7502,47.2704,48.8438,51.5093,55.3322,60.4065,66.8567,74.8405,84.5528,96.2298,110.1544,126.6623,146.1494,169.0797,195.9951,227.5257,264.4013,307.4647,306.9081,24.8575,24.8211,15840
56.6808,57.3225,59.2631,62.5497,67.2619,73.5137,81.4557,91.2784,103.2166,117.5537,134.6274,154.8366,178.6484,206.6064,239.3391,277.5699,322.1257,373.9468,373.2361,29.6131,29.5332,16080
68.9073,69.6956,72.0793,76.1147,81.8968,89.5614,99.2874,111.3002,125.8757,143.3447,164.0986,188.5948,217.3624,251.0089,290.2246,335.7879,388.5669,449.5191,448.6007,39.6933,39.5256,16320
83.8786,84.8403,87.7471,92.6645,99.7028,109.0186,120.8172,135.3552,152.9436,173.9510,198.8070,228.0047,262.1028,301.7257,347.5611,400.3545,460.8975,530.0101,528.8179,59.6275,59.2999,16560
102.0381,103.1972,106.6985,112.6145,121.0666,132.2264,146.3158,163.6091,184.4329,209.1667,238.2414,272.1366,311.3749,356.5129,408.1272,466.7937,533.0595,607.4042,605.8850,95.0324,94.4569,16800
123.7237,125.0939,129.2293,136.2039,146.1409,159.2120,175.6363,195.6784,219.6450,247.8802,280.7584,318.6732,362.0236,411.1944,466.5306,528.3053,596.6786,671.6492,669.8126,149.3286,148.4438,17040
